time,SNUADC/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR
7867,NaN,NaN,100,14,79,71,34,NaN,59,105,NaN,13,79
7868,NaN,NaN,,,,,,NaN,,,NaN,,
7869,NaN,NaN,100,14,79,72,34,NaN,60,107,NaN,13,79
7870,NaN,NaN,,,,,,NaN,,,NaN,,
7871,NaN,NaN,100,14,79,72,34,NaN,59,107,NaN,13,79
7872,NaN,NaN,,,,,,NaN,,,NaN,,
7873,NaN,NaN,100,14,80,72,34,NaN,60,107,NaN,13,79
7874,NaN,NaN,,,,,,NaN,,,NaN,,
7875,NaN,NaN,100,14,79,72,34,NaN,60,108,NaN,13,79
7876,NaN,NaN,,,,,,NaN,,,NaN,,
7877,NaN,NaN,100,14,79,71,33,NaN,59,105,NaN,13,78
7878,NaN,NaN,,,,,,NaN,,,NaN,,
7879,NaN,NaN,100,14,79,72,33,NaN,60,108,NaN,13,78
7880,NaN,NaN,,,,,,NaN,,,NaN,,
7881,NaN,NaN,100,14,79,71,33,NaN,59,105,NaN,13,79
7882,NaN,NaN,,,,,,NaN,,,NaN,,
7883,NaN,NaN,100,14,79,72,33,NaN,61,109,NaN,13,78
7884,NaN,NaN,,,,,,NaN,,,NaN,,
7885,NaN,NaN,100,14,79,72,33,NaN,60,108,NaN,13,79
7886,NaN,NaN,,,,,,NaN,,,NaN,,
7887,NaN,NaN,100,14,79,73,33,NaN,61,108,NaN,13,79
7888,NaN,NaN,,,,,,NaN,,,NaN,,
7889,NaN,NaN,100,14,79,73,33,NaN,61,109,NaN,13,79
7890,NaN,NaN,,,,,,NaN,,,NaN,,
7891,NaN,NaN,100,14,80,73,34,NaN,61,108,NaN,13,79
7892,NaN,NaN,,,,,,NaN,,,NaN,,
7893,NaN,NaN,100,14,80,73,34,NaN,61,110,NaN,13,80
7894,NaN,NaN,,,,,,NaN,,,NaN,,
7895,NaN,NaN,100,14,80,72,34,NaN,59,105,NaN,13,80
7896,NaN,NaN,,,,,,NaN,,,NaN,,
7897,NaN,NaN,100,14,80,72,34,NaN,60,107,NaN,13,79
7898,NaN,NaN,,,,,,NaN,,,NaN,,
7899,NaN,NaN,100,14,80,72,34,NaN,59,105,NaN,13,79
7900,NaN,NaN,,,,,,NaN,,,NaN,,
7901,NaN,NaN,100,14,80,72,34,NaN,61,108,NaN,13,79
7902,NaN,NaN,,,,,,NaN,,,NaN,,
7903,NaN,NaN,100,14,80,73,34,NaN,60,108,NaN,13,79
7904,NaN,NaN,,,,,,NaN,,,NaN,,
7905,NaN,NaN,100,14,80,72,34,NaN,60,105,NaN,13,79
7906,NaN,NaN,,,,,,NaN,,,NaN,,
7907,NaN,NaN,100,14,80,73,34,NaN,60,108,NaN,13,80
7908,NaN,NaN,,,,,,NaN,,,NaN,,
7909,NaN,NaN,100,14,80,72,34,NaN,59,106,NaN,13,80
7910,NaN,NaN,,,,,,NaN,,,NaN,,
7911,NaN,NaN,100,14,80,73,34,NaN,61,110,NaN,13,80
7912,NaN,NaN,,,,,,NaN,,,NaN,,
7913,NaN,NaN,100,14,80,72,34,NaN,59,106,NaN,13,80
7914,NaN,NaN,,,,,,NaN,,,NaN,,
7915,NaN,NaN,100,14,80,73,34,NaN,61,110,NaN,13,80
7916,NaN,NaN,,,,,,NaN,,,NaN,,
7917,NaN,NaN,100,14,80,73,34,NaN,60,109,NaN,13,80
7918,NaN,NaN,,,,,,NaN,,,NaN,,
7919,NaN,NaN,100,14,80,72,34,NaN,60,107,NaN,13,80
7920,NaN,NaN,,,,,,NaN,,,NaN,,
7921,NaN,NaN,100,14,80,72,34,NaN,60,108,NaN,13,80
7922,NaN,NaN,,,,,,NaN,,,NaN,,
7923,NaN,NaN,100,14,80,72,34,NaN,59,106,NaN,13,80
7924,NaN,NaN,,,,,,NaN,,,NaN,,
7925,NaN,NaN,100,14,80,73,34,NaN,61,110,NaN,13,80
7926,NaN,NaN,,,,,,NaN,,,NaN,,
7927,NaN,NaN,100,14,80,72,34,NaN,60,107,NaN,13,80
7928,NaN,NaN,,,,,,NaN,,,NaN,,
7929,NaN,NaN,100,14,80,73,34,NaN,61,109,NaN,13,80
7930,NaN,NaN,,,,,,NaN,,,NaN,,
7931,NaN,NaN,100,14,80,73,34,NaN,60,107,NaN,13,79
7932,NaN,NaN,,,,,,NaN,,,NaN,,
7933,NaN,NaN,100,14,80,72,34,NaN,60,106,NaN,13,79
7934,NaN,NaN,,,,,,NaN,,,NaN,,
7935,NaN,NaN,100,14,80,73,34,NaN,61,109,NaN,13,79
7936,NaN,NaN,,,,,,NaN,,,NaN,,
7937,NaN,NaN,100,14,80,73,34,NaN,62,108,NaN,13,79
7938,NaN,NaN,,,,,,NaN,,,NaN,,
