time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
331,,,NaN,NaN,,NaN,,,,,,NaN,
332,-2,,NaN,NaN,-2,NaN,0,-2,,52,52,NaN,99
333,,,NaN,NaN,,NaN,,,,,,NaN,
334,-4,,NaN,NaN,-4,NaN,0,-4,,52,52,NaN,99
335,,,NaN,NaN,,NaN,,,,,,NaN,
336,-4,,NaN,NaN,-4,NaN,0,-4,,52,52,NaN,99
337,,,NaN,NaN,,NaN,,,,,,NaN,
338,-2,,NaN,NaN,-2,NaN,0,-2,,52,51,NaN,99
339,,,NaN,NaN,,NaN,,,,,,NaN,
340,-2,,NaN,NaN,-2,NaN,0,-2,,52,51,NaN,99
341,,,NaN,NaN,,NaN,,,,,,NaN,
342,-3,,NaN,NaN,-3,NaN,0,-3,,52,51,NaN,99
343,,,NaN,NaN,,NaN,,,,,,NaN,
344,-3,,NaN,NaN,-3,NaN,0,-3,,52,51,NaN,99
345,,,NaN,NaN,,NaN,,,,,,NaN,
346,-3,,NaN,NaN,-3,NaN,0,-3,,51,51,NaN,99
347,,,NaN,NaN,,NaN,,,,,,NaN,
348,-3,,NaN,NaN,-3,NaN,0,-3,,51,51,NaN,99
349,,,NaN,NaN,,NaN,,,,,,NaN,
350,-3,,NaN,NaN,-3,NaN,0,-3,,52,51,NaN,99
351,,,NaN,NaN,,NaN,,,,,,NaN,
352,-3,,NaN,NaN,-3,NaN,0,-3,,52,51,NaN,99
353,,,NaN,NaN,,NaN,,,,,,NaN,
354,-3,,NaN,NaN,-3,NaN,0,-3,,52,51,NaN,99
355,,,NaN,NaN,,NaN,,,,,,NaN,
356,-3,,NaN,NaN,-3,NaN,0,-3,,52,52,NaN,98
357,,,NaN,NaN,,NaN,,,,,,NaN,
358,-3,,NaN,NaN,-3,NaN,0,-3,,52,52,NaN,98
359,,,NaN,NaN,,NaN,,,,,,NaN,
360,-3,,NaN,NaN,-3,NaN,0,-3,,53,52,NaN,98
361,,,NaN,NaN,,NaN,,,,,,NaN,
362,-3,,NaN,NaN,-3,NaN,0,-3,,53,53,NaN,98
363,,,NaN,NaN,,NaN,,,,,,NaN,
364,-2,,NaN,NaN,-4,NaN,0,0,,54,54,NaN,99
365,,,NaN,NaN,,NaN,,,,,,NaN,
366,-3,,NaN,NaN,-9,NaN,0,3,,55,55,NaN,99
367,,,NaN,NaN,,NaN,,,,,,NaN,
368,-3,,NaN,NaN,-9,NaN,0,3,,56,56,NaN,99
369,,,NaN,NaN,,NaN,,,,,,NaN,
