time,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_DBP,SNUADC/ECG_II
247,,,NaN,NaN,,,NaN,,,,,,NaN
248,,0,NaN,NaN,69,-11,NaN,-11,99,-12,68,-11,NaN
249,,,NaN,NaN,,,NaN,,,,,,NaN
250,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
251,,,NaN,NaN,,,NaN,,,,,,NaN
252,,0,NaN,NaN,70,-11,NaN,-11,99,-12,69,-11,NaN
253,,,NaN,NaN,,,NaN,,,,,,NaN
254,,0,NaN,NaN,70,-11,NaN,-11,99,-12,69,-11,NaN
255,,,NaN,NaN,,,NaN,,,,,,NaN
256,,0,NaN,NaN,69,-11,NaN,-11,99,-12,68,-11,NaN
257,,,NaN,NaN,,,NaN,,,,,,NaN
258,,0,NaN,NaN,68,-11,NaN,-11,99,-12,68,-11,NaN
259,,,NaN,NaN,,,NaN,,,,,,NaN
260,,0,NaN,NaN,68,-11,NaN,-11,99,-12,67,-11,NaN
261,,,NaN,NaN,,,NaN,,,,,,NaN
262,,0,NaN,NaN,68,-11,NaN,-11,99,-12,67,-11,NaN
263,,,NaN,NaN,,,NaN,,,,,,NaN
264,,0,NaN,NaN,67,-11,NaN,-11,99,-12,67,-11,NaN
265,,,NaN,NaN,,,NaN,,,,,,NaN
266,,0,NaN,NaN,67,-11,NaN,-11,99,-12,66,-11,NaN
267,,,NaN,NaN,,,NaN,,,,,,NaN
268,,0,NaN,NaN,67,-11,NaN,-11,99,-12,66,-11,NaN
269,,,NaN,NaN,,,NaN,,,,,,NaN
270,,0,NaN,NaN,67,-11,NaN,-11,99,-12,67,-11,NaN
271,,,NaN,NaN,,,NaN,,,,,,NaN
272,,0,NaN,NaN,68,-11,NaN,-11,99,-12,68,-11,NaN
273,,,NaN,NaN,,,NaN,,,,,,NaN
274,,0,NaN,NaN,69,-11,NaN,-11,99,-12,68,-11,NaN
275,,,NaN,NaN,,,NaN,,,,,,NaN
276,,0,NaN,NaN,69,-11,NaN,-11,99,-12,68,-11,NaN
277,,,NaN,NaN,,,NaN,,,,,,NaN
278,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
279,,,NaN,NaN,,,NaN,,,,,,NaN
280,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
281,,,NaN,NaN,,,NaN,,,,,,NaN
282,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
283,,,NaN,NaN,,,NaN,,,,,,NaN
284,,0,NaN,NaN,70,-11,NaN,-11,99,-12,70,-11,NaN
285,,,NaN,NaN,,,NaN,,,,,,NaN
286,,0,NaN,NaN,70,-11,NaN,-11,99,-12,69,-11,NaN
287,,,NaN,NaN,,,NaN,,,,,,NaN
288,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
289,,,NaN,NaN,,,NaN,,,,,,NaN
290,,0,NaN,NaN,70,-11,NaN,-11,99,-12,69,-11,NaN
291,,,NaN,NaN,,,NaN,,,,,,NaN
292,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
293,,,NaN,NaN,,,NaN,,,,,,NaN
294,,0,NaN,NaN,69,-11,NaN,-11,99,-12,69,-11,NaN
295,,,NaN,NaN,,,NaN,,,,,,NaN
296,,0,NaN,NaN,70,-11,NaN,-11,99,-10,69,-11,NaN
297,,,NaN,NaN,,,NaN,,,,,,NaN
298,,0,NaN,NaN,70,-11,NaN,-11,99,-10,69,-11,NaN
299,,,NaN,NaN,,,NaN,,,,,,NaN
300,,0,NaN,NaN,71,-11,NaN,-11,99,-11,70,-11,NaN
301,,,NaN,NaN,,,NaN,,,,,,NaN
302,,0,NaN,NaN,72,-11,NaN,-11,99,-11,72,-11,NaN
303,,,NaN,NaN,,,NaN,,,,,,NaN
304,,0,NaN,NaN,72,-11,NaN,-11,99,-11,72,-11,NaN
305,,,NaN,NaN,,,NaN,,,,,,NaN
306,,0,NaN,NaN,71,-11,NaN,-11,99,-14,71,-11,NaN
307,,,NaN,NaN,,,NaN,,,,,,NaN
308,,0,NaN,NaN,70,-11,NaN,-11,99,-14,69,-11,NaN
309,,,NaN,NaN,,,NaN,,,,,,NaN
310,,0,NaN,NaN,69,-11,NaN,-11,99,-15,68,-11,NaN
311,,,NaN,NaN,,,NaN,,,,,,NaN
312,,0,NaN,NaN,68,-11,NaN,-11,99,-15,68,-11,NaN
313,,,NaN,NaN,,,NaN,,,,,,NaN
314,,0,NaN,NaN,69,-11,NaN,-11,99,-13,68,-11,NaN
315,,,NaN,NaN,,,NaN,,,,,,NaN
316,,0,NaN,NaN,69,-11,NaN,-11,99,-13,68,-11,NaN
317,,,NaN,NaN,,,NaN,,,,,,NaN
318,,0,NaN,NaN,70,-11,NaN,-11,99,-12,69,-11,NaN
319,,,NaN,NaN,,,NaN,,,,,,NaN
320,,0,NaN,NaN,71,-11,NaN,-11,99,-12,71,-11,NaN
321,,,NaN,NaN,,,NaN,,,,,,NaN
322,,0,NaN,NaN,72,-11,NaN,-11,99,-11,72,-11,NaN
323,,,NaN,NaN,,,NaN,,,,,,NaN
324,,0,NaN,NaN,71,-11,NaN,-11,99,-11,72,-11,NaN
325,,,NaN,NaN,,,NaN,,,,,,NaN
326,,0,NaN,NaN,71,-11,NaN,-11,100,-10,70,-11,NaN
327,,,NaN,NaN,,,NaN,,,,,,NaN
328,,36,NaN,NaN,70,-11,NaN,-11,99,-10,69,-11,NaN
329,,,NaN,NaN,,,NaN,,,,,,NaN
330,,36,NaN,NaN,68,-11,NaN,-11,100,-11,68,-11,NaN
331,,,NaN,NaN,,,NaN,,,,,,NaN
332,,36,NaN,NaN,67,-11,NaN,-11,100,-11,67,-11,NaN
333,,,NaN,NaN,,,NaN,,,,,,NaN
334,,,NaN,NaN,66,-11,NaN,-11,100,-13,65,-11,NaN
335,,,NaN,NaN,,,NaN,,,,,,NaN
336,,,NaN,NaN,65,-11,NaN,-11,100,-13,63,-11,NaN
