time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART
329,,,,,,,,NaN,,NaN,NaN,,NaN
330,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
331,,,,,,,,NaN,,NaN,NaN,,NaN
332,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
333,,,,,,,,NaN,,NaN,NaN,,NaN
334,64,,64,1,,7,1,NaN,100,NaN,NaN,1,NaN
335,,,,,,,,NaN,,NaN,NaN,,NaN
336,64,,64,1,,7,1,NaN,100,NaN,NaN,1,NaN
337,,,,,,,,NaN,,NaN,NaN,,NaN
338,64,,64,1,,7,1,NaN,100,NaN,NaN,1,NaN
339,,,,,,,,NaN,,NaN,NaN,,NaN
340,64,,64,1,,7,1,NaN,100,NaN,NaN,1,NaN
341,,,,,,,,NaN,,NaN,NaN,,NaN
342,64,,64,2,,7,2,NaN,100,NaN,NaN,2,NaN
343,,,,,,,,NaN,,NaN,NaN,,NaN
344,64,,63,2,,7,2,NaN,100,NaN,NaN,2,NaN
345,,,,,,,,NaN,,NaN,NaN,,NaN
346,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
347,,,,,,,,NaN,,NaN,NaN,,NaN
348,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
349,,,,,,,,NaN,,NaN,NaN,,NaN
350,64,,63,2,,7,2,NaN,100,NaN,NaN,2,NaN
351,,,,,,,,NaN,,NaN,NaN,,NaN
352,63,,63,2,,7,2,NaN,100,NaN,NaN,2,NaN
353,,,,,,,,NaN,,NaN,NaN,,NaN
354,63,,63,2,,7,2,NaN,100,NaN,NaN,2,NaN
355,,,,,,,,NaN,,NaN,NaN,,NaN
356,63,,63,2,,7,2,NaN,100,NaN,NaN,2,NaN
357,,,,,,,,NaN,,NaN,NaN,,NaN
358,63,,63,2,,8,2,NaN,100,NaN,NaN,2,NaN
359,,,,,,,,NaN,,NaN,NaN,,NaN
360,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
361,,,,,,,,NaN,,NaN,NaN,,NaN
362,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
363,,,,,,,,NaN,,NaN,NaN,,NaN
364,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
365,,,,,,,,NaN,,NaN,NaN,,NaN
366,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
367,,,,,,,,NaN,,NaN,NaN,,NaN
368,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
369,,,,,,,,NaN,,NaN,NaN,,NaN
370,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
371,,,,,,,,NaN,,NaN,NaN,,NaN
372,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
373,,,,,,,,NaN,,NaN,NaN,,NaN
374,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
375,,,,,,,,NaN,,NaN,NaN,,NaN
376,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
377,,,,,,,,NaN,,NaN,NaN,,NaN
378,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
379,,,,,,,,NaN,,NaN,NaN,,NaN
380,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
381,,,,,,,,NaN,,NaN,NaN,,NaN
382,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
383,,,,,,,,NaN,,NaN,NaN,,NaN
384,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
385,,,,,,,,NaN,,NaN,NaN,,NaN
386,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
387,,,,,,,,NaN,,NaN,NaN,,NaN
388,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
389,,,,,,,,NaN,,NaN,NaN,,NaN
390,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
391,,,,,,,,NaN,,NaN,NaN,,NaN
392,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
393,,,,,,,,NaN,,NaN,NaN,,NaN
394,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
395,,,,,,,,NaN,,NaN,NaN,,NaN
396,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
397,,,,,,,,NaN,,NaN,NaN,,NaN
398,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
399,,,,,,,,NaN,,NaN,NaN,,NaN
400,62,,61,2,,8,2,NaN,100,NaN,NaN,2,NaN
401,,,,,,,,NaN,,NaN,NaN,,NaN
402,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
403,,,,,,,,NaN,,NaN,NaN,,NaN
404,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
405,,,,,,,,NaN,,NaN,NaN,,NaN
406,62,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
407,,,,,,,,NaN,,NaN,NaN,,NaN
408,63,,62,2,,8,2,NaN,100,NaN,NaN,2,NaN
409,,,,,,,,NaN,,NaN,NaN,,NaN
410,63,,63,2,,13,2,NaN,100,NaN,NaN,2,NaN
411,,,,,,,,NaN,,NaN,NaN,,NaN
412,64,,63,2,,13,2,NaN,100,NaN,NaN,2,NaN
413,,,,,,,,NaN,,NaN,NaN,,NaN
414,64,,63,2,,16,2,NaN,100,NaN,NaN,2,NaN
415,,,,,,,,NaN,,NaN,NaN,,NaN
416,64,,63,2,,16,2,NaN,100,NaN,NaN,2,NaN
417,,,,,,,,NaN,,NaN,NaN,,NaN
418,65,,64,3,,36,3,NaN,100,NaN,NaN,3,NaN
419,,,,,,,,NaN,,NaN,NaN,,NaN
420,65,,64,3,,36,3,NaN,100,NaN,NaN,3,NaN
421,,,,,,,,NaN,,NaN,NaN,,NaN
422,65,,64,2,,78,2,NaN,100,NaN,NaN,2,NaN
