time,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/CVP
308,NaN,,,,,,NaN,,NaN,,,NaN,
309,NaN,-3,,83,100,83,NaN,-3,NaN,,-3,NaN,-50
310,NaN,,,,,,NaN,,NaN,,,NaN,
311,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-50
312,NaN,,,,,,NaN,,NaN,,,NaN,
313,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-50
314,NaN,,,,,,NaN,,NaN,,,NaN,
315,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-50
316,NaN,,,,,,NaN,,NaN,,,NaN,
317,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-50
318,NaN,,,,,,NaN,,NaN,,,NaN,
319,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
320,NaN,,,,,,NaN,,NaN,,,NaN,
321,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-50
322,NaN,,,,,,NaN,,NaN,,,NaN,
323,NaN,-3,,80,100,80,NaN,-3,NaN,,-3,NaN,-50
324,NaN,,,,,,NaN,,NaN,,,NaN,
325,NaN,-3,,80,100,80,NaN,-3,NaN,,-3,NaN,-50
326,NaN,,,,,,NaN,,NaN,,,NaN,
327,NaN,-3,,80,100,79,NaN,-3,NaN,,-3,NaN,-50
328,NaN,,,,,,NaN,,NaN,,,NaN,
329,NaN,-3,,80,100,80,NaN,-3,NaN,,-3,NaN,-50
330,NaN,,,,,,NaN,,NaN,,,NaN,
331,NaN,-3,,81,100,81,NaN,-3,NaN,,-3,NaN,-50
332,NaN,,,,,,NaN,,NaN,,,NaN,
333,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-50
334,NaN,,,,,,NaN,,NaN,,,NaN,
335,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-50
336,NaN,,,,,,NaN,,NaN,,,NaN,
337,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
338,NaN,,,,,,NaN,,NaN,,,NaN,
339,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
340,NaN,,,,,,NaN,,NaN,,,NaN,
341,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-50
342,NaN,,,,,,NaN,,NaN,,,NaN,
343,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-50
344,NaN,,,,,,NaN,,NaN,,,NaN,
345,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
346,NaN,,,,,,NaN,,NaN,,,NaN,
347,NaN,-3,,80,100,80,NaN,-3,NaN,,-3,NaN,-50
348,NaN,,,,,,NaN,,NaN,,,NaN,
349,NaN,-1,,79,100,78,NaN,-1,NaN,,-1,NaN,-50
350,NaN,,,,,,NaN,,NaN,,,NaN,
351,NaN,-1,,78,100,77,NaN,-1,NaN,,-1,NaN,-50
352,NaN,,,,,,NaN,,NaN,,,NaN,
353,NaN,-2,,77,100,77,NaN,-2,NaN,,-2,NaN,-50
354,NaN,,,,,,NaN,,NaN,,,NaN,
355,NaN,-2,,77,100,77,NaN,-2,NaN,,-2,NaN,-50
356,NaN,,,,,,NaN,,NaN,,,NaN,
357,NaN,-2,,78,100,77,NaN,-2,NaN,,-2,NaN,-50
358,NaN,,,,,,NaN,,NaN,,,NaN,
359,NaN,-2,,78,100,77,NaN,-2,NaN,,-2,NaN,-50
360,NaN,,,,,,NaN,,NaN,,,NaN,
361,NaN,-2,,78,100,77,NaN,-2,NaN,,-2,NaN,-51
362,NaN,,,,,,NaN,,NaN,,,NaN,
363,NaN,-2,,78,100,77,NaN,-2,NaN,,-2,NaN,-51
364,NaN,,,,,,NaN,,NaN,,,NaN,
365,NaN,-2,,78,100,77,NaN,-2,NaN,,-2,NaN,-51
366,NaN,,,,,,NaN,,NaN,,,NaN,
367,NaN,-2,,77,100,77,NaN,-2,NaN,,-2,NaN,-51
368,NaN,,,,,,NaN,,NaN,,,NaN,
369,NaN,-2,,77,100,76,NaN,-2,NaN,,-2,NaN,-51
370,NaN,,,,,,NaN,,NaN,,,NaN,
371,NaN,-2,,76,100,75,NaN,-2,NaN,,-2,NaN,-51
372,NaN,,,,,,NaN,,NaN,,,NaN,
373,NaN,-2,,76,100,75,NaN,-2,NaN,,-2,NaN,-50
374,NaN,,,,,,NaN,,NaN,,,NaN,
375,NaN,-2,,75,100,75,NaN,-2,NaN,,-2,NaN,-50
376,NaN,,,,,,NaN,,NaN,,,NaN,
377,NaN,-2,,76,100,75,NaN,-2,NaN,,-2,NaN,-50
378,NaN,,,,,,NaN,,NaN,,,NaN,
379,NaN,-2,,76,100,75,NaN,-2,NaN,,-2,NaN,-50
380,NaN,,,,,,NaN,,NaN,,,NaN,
381,NaN,-2,,76,100,76,NaN,-2,NaN,,-2,NaN,-50
382,NaN,,,,,,NaN,,NaN,,,NaN,
383,NaN,-3,,77,100,76,NaN,-3,NaN,,-3,NaN,-50
384,NaN,,,,,,NaN,,NaN,,,NaN,
385,NaN,-3,,77,100,77,NaN,-3,NaN,,-3,NaN,-50
386,NaN,,,,,,NaN,,NaN,,,NaN,
387,NaN,-3,,78,100,77,NaN,-3,NaN,,-3,NaN,-50
388,NaN,,,,,,NaN,,NaN,,,NaN,
389,NaN,-3,,78,100,77,NaN,-3,NaN,,-3,NaN,-50
390,NaN,,,,,,NaN,,NaN,,,NaN,
391,NaN,-2,,78,100,78,NaN,-2,NaN,,-2,NaN,-51
392,NaN,,,,,,NaN,,NaN,,,NaN,
393,NaN,-2,,79,100,79,NaN,-2,NaN,,-2,NaN,-51
394,NaN,,,,,,NaN,,NaN,,,NaN,
395,NaN,-2,,80,100,80,NaN,-2,NaN,,-2,NaN,-51
396,NaN,,,,,,NaN,,NaN,,,NaN,
397,NaN,-2,,81,100,80,NaN,-2,NaN,,-2,NaN,-51
398,NaN,,,,,,NaN,,NaN,,,NaN,
